StudyHours,Attendance,SleepHours,PreviousGrade,AssignmentsCompleted,InternetAccess,Extracurricular,Performance
7,83,7,75,7,Yes,Yes,Good
8,85,8,77,8,Yes,No,Good
8,87,8,80,8,Yes,No,Good
9,89,8,82,9,Yes,Yes,Excellent
9,91,8,84,9,Yes,Yes,Excellent
10,93,8,87,10,Yes,Yes,Excellent
10,95,9,89,10,Yes,Yes,Excellent
11,97,9,91,10,Yes,Yes,Excellent
2,65,5,52,2,No,No,Poor
3,68,5,55,3,No,No,Poor
4,70,6,58,4,No,No,Average
4,72,6,60,4,Yes,No,Average
5,74,6,63,5,Yes,No,Average
5,76,6,66,5,Yes,Yes,Good
6,78,7,68,6,Yes,No,Good
6,80,7,71,6,Yes,No,Good
7,82,7,73,7,Yes,Yes,Good
7,84,7,75,7,Yes,No,Good
8,86,8,77,8,Yes,Yes,Good
8,88,8,80,8,Yes,No,Excellent
9,90,8,82,9,Yes,Yes,Excellent
9,92,8,84,9,Yes,Yes,Excellent
10,94,8,86,10,Yes,Yes,Excellent
10,96,9,88,10,Yes,Yes,Excellent
11,98,9,90,10,Yes,Yes,Excellent
12,99,9,93,10,Yes,Yes,Excellent
3,66,5,54,3,No,No,Poor
3,69,5,57,3,No,No,Poor
4,71,6,60,4,No,No,Average
5,73,6,62,5,No,No,Average
5,75,6,65,5,Yes,No,Average
6,77,7,67,6,Yes,No,Good
6,79,7,70,6,Yes,Yes,Good
7,81,7,72,7,Yes,No,Good
7,83,7,74,7,Yes,No,Good
8,85,8,76,8,Yes,Yes,Good
8,87,8,78,8,Yes,No,Excellent
9,89,8,80,9,Yes,Yes,Excellent
9,91,8,83,9,Yes,Yes,Excellent
10,93,8,85,10,Yes,Yes,Excellent
10,95,9,87,10,Yes,Yes,Excellent
11,97,9,89,10,Yes,Yes,Excellent
11,98,9,91,10,Yes,Yes,Excellent
12,100,9,94,10,Yes,Yes,Excellent
1,62,4,51,1,No,No,Poor
2,65,5,53,2,No,No,Poor
3,68,5,56,3,No,No,Poor
4,70,6,59,4,No,No,Average
4,72,6,61,4,Yes,No,Average
5,74,6,64,5,Yes,No,Average
5,76,6,67,5,Yes,Yes,Good
6,78,7,69,6,Yes,No,Good
6,80,7,72,6,Yes,No,Good
7,82,7,74,7,Yes,Yes,Good
7,84,7,76,7,Yes,No,Good
8,86,8,78,8,Yes,Yes,Excellent
8,88,8,80,8,Yes,No,Excellent
9,90,8,82,9,Yes,Yes,Excellent
9,92,8,84,9,Yes,Yes,Excellent
10,94,8,86,10,Yes,Yes,Excellent
10,96,9,88,10,Yes,Yes,Excellent
11,98,9,90,10,Yes,Yes,Excellent
12,100,9,92,10,Yes,Yes,Excellent
2,64,5,53,2,No,No,Poor
3,67,5,56,3,No,No,Poor
4,70,6,58,4,No,No,Average
4,72,6,60,4,Yes,No,Average
5,74,6,63,5,Yes,No,Average
5,76,6,65,5,Yes,Yes,Good
6,78,7,67,6,Yes,No,Good
6,80,7,70,6,Yes,No,Good
7,82,7,72,7,Yes,Yes,Good
7,84,7,74,7,Yes,No,Good
8,86,8,76,8,Yes,Yes,Excellent
8,88,8,78,8,Yes,No,Excellent
9,90,8,80,9,Yes,Yes,Excellent
9,92,8,82,9,Yes,Yes,Excellent
10,94,8,84,10,Yes,Yes,Excellent
10,96,9,86,10,Yes,Yes,Excellent
11,98,9,88,10,Yes,Yes,Excellent
11,99,9,90,10,Yes,Yes,Excellent
1,63,4,50,1,No,No,Poor
2,66,5,53,2,No,No,Poor
3,69,5,55,3,No,No,Poor
4,71,6,58,4,No,No,Average
4,73,6,60,4,Yes,No,Average
5,75,6,62,5,Yes,No,Average
5,77,6,65,5,Yes,Yes,Good
6,79,7,67,6,Yes,No,Good
6,81,7,70,6,Yes,No,Good
7,83,7,72,7,Yes,Yes,Good
7,85,7,74,7,Yes,No,Good
8,87,8,76,8,Yes,Yes,Excellent
8,89,8,78,8,Yes,No,Excellent
9,91,8,80,9,Yes,Yes,Excellent
9,93,8,82,9,Yes,Yes,Excellent
10,95,8,84,10,Yes,Yes,Excellent
10,97,9,86,10,Yes,Yes,Excellent
11,99,9,88,10,Yes,Yes,Excellent
12,100,9,91,10,Yes,Yes,Excellent
2,65,5,52,2,No,No,Poor
3,68,5,55,3,No,No,Poor
4,70,6,57,4,No,No,Average
4,72,6,60,4,Yes,No,Average
5,74,6,62,5,Yes,No,Average
5,76,6,64,5,Yes,Yes,Good
6,78,7,66,6,Yes,No,Good
6,80,7,69,6,Yes,No,Good
7,82,7,71,7,Yes,Yes,Good
7,84,7,73,7,Yes,No,Good
8,86,8,75,8,Yes,Yes,Excellent
8,88,8,77,8,Yes,No,Excellent
9,90,8,79,9,Yes,Yes,Excellent
9,92,8,81,9,Yes,Yes,Excellent
10,94,8,83,10,Yes,Yes,Excellent
10,96,9,85,10,Yes,Yes,Excellent
11,98,9,87,10,Yes,Yes,Excellent
12,99,9,90,10,Yes,Yes,Excellent
1,62,4,49,1,No,No,Poor
2,65,5,52,2,No,No,Poor
3,68,5,54,3,No,No,Poor
4,70,6,57,4,No,No,Average
4,72,6,59,4,Yes,No,Average
5,74,6,61,5,Yes,No,Average
5,76,6,63,5,Yes,Yes,Good
6,78,7,65,6,Yes,No,Good
6,80,7,68,6,Yes,No,Good
7,82,7,70,7,Yes,Yes,Good
7,84,7,72,7,Yes,No,Good
8,86,8,74,8,Yes,Yes,Excellent
8,88,8,76,8,Yes,No,Excellent
9,90,8,78,9,Yes,Yes,Excellent
9,92,8,80,9,Yes,Yes,Excellent
10,94,8,82,10,Yes,Yes,Excellent
10,96,9,84,10,Yes,Yes,Excellent
11,98,9,86,10,Yes,Yes,Excellent
12,100,9,89,10,Yes,Yes,Excellent
2,66,5,53,2,No,No,Poor
3,69,5,56,3,No,No,Poor
4,71,6,58,4,No,No,Average
4,73,6,60,4,Yes,No,Average
5,75,6,62,5,Yes,No,Average
5,77,6,64,5,Yes,Yes,Good
6,79,7,66,6,Yes,No,Good
6,81,7,68,6,Yes,No,Good
7,83,7,70,7,Yes,Yes,Good
7,85,7,72,7,Yes,No,Good
8,87,8,74,8,Yes,Yes,Excellent
8,89,8,76,8,Yes,No,Excellent
9,91,8,78,9,Yes,Yes,Excellent
9,93,8,80,9,Yes,Yes,Excellent
10,95,8,82,10,Yes,Yes,Excellent
10,97,9,84,10,Yes,Yes,Excellent
11,99,9,86,10,Yes,Yes,Excellent
12,100,9,88,10,Yes,Yes,Excellent
1,61,4,50,1,No,No,Poor
2,64,5,53,2,No,No,Poor
3,67,5,55,3,No,No,Poor
4,70,6,58,4,No,No,Average
4,72,6,60,4,Yes,No,Average
5,74,6,62,5,Yes,No,Average
5,76,6,64,5,Yes,Yes,Good
6,78,7,66,6,Yes,No,Good
6,80,7,68,6,Yes,No,Good
7,82,7,70,7,Yes,Yes,Good
7,84,7,72,7,Yes,No,Good
8,86,8,74,8,Yes,Yes,Excellent
8,88,8,76,8,Yes,No,Excellent
9,90,8,78,9,Yes,Yes,Excellent
9,92,8,80,9,Yes,Yes,Excellent
10,94,8,82,10,Yes,Yes,Excellent
10,96,9,84,10,Yes,Yes,Excellent
11,98,9,86,10,Yes,Yes,Excellent
11,99,9,88,10,Yes,Yes,Excellent
3,67,5,54,3,No,No,Poor
4,70,6,56,4,No,No,Average
5,73,6,58,5,Yes,No,Average
5,75,6,61,5,Yes,Yes,Good
6,77,7,63,6,Yes,No,Good
6,79,7,65,6,Yes,No,Good
7,81,7,67,7,Yes,Yes,Good
7,83,7,69,7,Yes,No,Good
8,85,8,71,8,Yes,Yes,Excellent
8,87,8,73,8,Yes,No,Excellent
9,89,8,75,9,Yes,Yes,Excellent
9,91,8,77,9,Yes,Yes,Excellent
10,93,8,79,10,Yes,Yes,Excellent
10,95,9,81,10,Yes,Yes,Excellent
11,97,9,83,10,Yes,Yes,Excellent
11,98,9,85,10,Yes,Yes,Excellent
12,100,9,87,10,Yes,Yes,Excellent
1,60,4,48,1,No,No,Poor
2,63,5,51,2,No,No,Poor
3,66,5,53,3,No,No,Poor
4,69,6,56,4,No,No,Average
4,71,6,58,4,Yes,No,Average
5,73,6,60,5,Yes,No,Average
5,75,6,62,5,Yes,Yes,Good
6,77,7,64,6,Yes,No,Good
6,79,7,66,6,Yes,No,Good
7,81,7,68,7,Yes,Yes,Good
7,83,7,70,7,Yes,No,Good
8,85,8,72,8,Yes,Yes,Excellent
8,87,8,74,8,Yes,No,Excellent
9,89,8,76,9,Yes,Yes,Excellent
9,91,8,78,9,Yes,Yes,Excellent
10,93,8,80,10,Yes,Yes,Excellent
10,95,9,82,10,Yes,Yes,Excellent
11,97,9,84,10,Yes,Yes,Excellent
12,99,9,86,10,Yes,Yes,Excellent
2,65,5,54,2,No,No,Poor
3,68,5,57,3,No,No,Poor
4,71,6,59,4,No,No,Average
4,73,6,61,4,Yes,No,Average
5,75,6,63,5,Yes,No,Average
5,77,6,65,5,Yes,Yes,Good
6,79,7,67,6,Yes,No,Good
6,81,7,69,6,Yes,No,Good
7,83,7,71,7,Yes,Yes,Good
7,85,7,73,7,Yes,No,Good
8,87,8,75,8,Yes,Yes,Excellent
8,89,8,77,8,Yes,No,Excellent
9,91,8,79,9,Yes,Yes,Excellent
9,93,8,81,9,Yes,Yes,Excellent
10,95,8,83,10,Yes,Yes,Excellent
10,97,9,85,10,Yes,Yes,Excellent
11,99,9,87,10,Yes,Yes,Excellent
11,100,9,89,10,Yes,Yes,Excellent
3,66,4,52,3,No,No,Poor
4,69,5,55,4,No,No,Average
5,72,6,57,5,No,No,Average
5,74,6,60,5,Yes,No,Average
6,76,7,62,6,Yes,No,Good
6,78,7,64,6,Yes,No,Good
7,80,7,66,7,Yes,Yes,Good
7,82,7,68,7,Yes,No,Good
8,84,8,70,8,Yes,Yes,Good
8,86,8,72,8,Yes,No,Excellent
9,88,8,74,9,Yes,Yes,Excellent
9,90,8,76,9,Yes,Yes,Excellent
10,92,8,78,10,Yes,Yes,Excellent
10,94,9,80,10,Yes,Yes,Excellent
11,96,9,82,10,Yes,Yes,Excellent
12,98,9,84,10,Yes,Yes,Excellent
1,62,4,51,1,No,No,Poor
2,65,5,54,2,No,No,Poor
3,68,5,56,3,No,No,Poor
4,70,6,58,4,No,No,Average
4,72,6,60,4,Yes,No,Average
5,74,6,62,5,Yes,No,Average
5,76,6,64,5,Yes,Yes,Good
6,78,7,66,6,Yes,No,Good
6,80,7,68,6,Yes,No,Good
7,82,7,70,7,Yes,Yes,Good
7,84,7,72,7,Yes,No,Good
8,86,8,74,8,Yes,Yes,Excellent
8,88,8,76,8,Yes,No,Excellent
9,90,8,78,9,Yes,Yes,Excellent
9,92,8,80,9,Yes,Yes,Excellent
10,94,8,82,10,Yes,Yes,Excellent
10,96,9,84,10,Yes,Yes,Excellent
11,98,9,86,10,Yes,Yes,Excellent
12,99,9,88,10,Yes,Yes,Excellent
2,67,5,55,2,No,No,Poor
3,70,5,58,3,No,No,Average
4,72,6,60,4,No,No,Average
4,74,6,62,4,Yes,No,Average
5,76,6,64,5,Yes,No,Good
5,78,6,66,5,Yes,Yes,Good
6,80,7,68,6,Yes,No,Good
6,82,7,70,6,Yes,No,Good
7,84,7,72,7,Yes,Yes,Excellent
7,86,7,74,7,Yes,No,Excellent
8,88,8,76,8,Yes,Yes,Excellent
8,90,8,78,8,Yes,No,Excellent
9,92,8,80,9,Yes,Yes,Excellent
9,94,8,82,9,Yes,Yes,Excellent
10,96,8,84,10,Yes,Yes,Excellent
10,98,9,86,10,Yes,Yes,Excellent
11,100,9,88,10,Yes,Yes,Excellent
12,100,9,90,10,Yes,Yes,Excellent
1,63,4,52,1,No,No,Poor
2,66,5,55,2,No,No,Poor
3,69,5,57,3,No,No,Average
4,71,6,59,4,No,No,Average
4,73,6,61,4,Yes,No,Average
5,75,6,63,5,Yes,No,Good
5,77,6,65,5,Yes,Yes,Good
6,79,7,67,6,Yes,No,Good
6,81,7,69,6,Yes,No,Good
7,83,7,71,7,Yes,Yes,Excellent
7,85,7,73,7,Yes,No,Excellent
8,87,8,75,8,Yes,Yes,Excellent
8,89,8,77,8,Yes,NO,Excellent
9,91,8,79,9,Yes,Yes,Excellent
9,93,8,81,9,Yes,Yes,Excellent
10,95,8,83,10,Yes,Yes,Excellent
10,97,9,85,10,Yes,Yes,Excellent
11,99,9,87,10,Yes,Yes,Excellent
12,100,9,90,10,Yes,Yes,Excellent
2,68,5,56,2,No,No,Poor
3,71,5,59,3,No,No,Average
4,73,6,61,4,No,No,Average
4,75,6,63,4,Yes,No,Good
5,77,6,65,5,Yes,No,Good
5,79,6,67,5,Yes,Yes,Good
6,81,7,69,6,Yes,No,Good
6,83,7,71,6,Yes,No,Excellent
7,85,7,73,7,Yes,Yes,Excellent
7,87,7,75,7,Yes,NO,Excellent
8,89,8,77,8,Yes,Yes,Excellent
8,91,8,79,8,Yes,No,Excellent
9,93,8,81,9,Yes,Yes,Excellent
9,95,8,83,9,Yes,Yes,Excellent
10,97,8,85,10,Yes,Yes,Excellent
10,99,9,87,10,Yes,Yes,Excellent
11,100,9,89,10,Yes,Yes,Excellent
12,100,9,92,10,Yes,Yes,Excellent
1,64,4,53,1,No,No,Poor
2,67,5,56,2,No,No,Poor
3,70,5,58,3,No,No,Average
4,72,6,60,4,No,No,Average
4,74,6,62,4,Yes,No,Good
5,76,6,64,5,Yes,No,Good
5,78,6,66,5,Yes,Yes,Good
6,80,7,68,6,Yes,No,Excellent
6,82,7,70,6,Yes,NO,Excellent
7,84,7,72,7,Yes,Yes,Excellent
7,86,7,74,7,Yes,No,Excellent
8,88,8,76,8,Yes,Yes,Excellent
8,90,8,78,8,Yes,No,Excellent
9,92,8,80,9,Yes,Yes,Excellent
9,94,8,82,9,Yes,Yes,Excellent
10,96,8,84,10,Yes,Yes,Excellent
10,98,9,86,10,Yes,Yes,Excellent
11,100,9,88,10,Yes,Yes,Excellent
12,100,9,91,10,Yes,Yes,Excellent
2,69,5,57,2,No,No,Poor
3,72,5,60,3,No,No,Average
4,74,6,62,4,No,No,Average
4,76,6,64,4,Yes,No,Good
5,78,6,66,5,Yes,No,Good
5,80,6,68,5,Yes,Yes,Excellent
6,82,7,70,6,Yes,No,Excellent
6,84,7,72,6,Yes,NO,Excellent
7,86,7,74,7,Yes,Yes,Excellent
7,88,7,76,7,Yes,No,Excellent
8,90,8,78,8,Yes,Yes,Excellent
8,92,8,80,8,Yes,No,Excellent
9,94,8,82,9,Yes,Yes,Excellent
9,96,8,84,9,Yes,Yes,Excellent
10,98,8,86,10,Yes,Yes,Excellent
10,100,9,88,10,Yes,Yes,Excellent
11,100,9,90,10,Yes,Yes,Excellent
12,100,9,93,10,Yes,Yes,Excellent
3,70,4,54,3,No,No,Poor
4,73,5,57,4,No,No,Average
5,75,6,59,5,No,No,Average
5,77,6,61,5,Yes,No,Good
6,79,7,63,6,Yes,No,Good
6,81,7,65,6,Yes,NO,Excellent
7,83,7,67,7,Yes,Yes,Excellent
7,85,7,69,7,Yes,No,Excellent
8,87,8,71,8,Yes,Yes,Excellent
8,89,8,73,8,Yes,No,Excellent
9,91,8,75,9,Yes,Yes,Excellent
9,93,8,77,9,Yes,Yes,Excellent
10,95,8,79,10,Yes,Yes,Excellent
10,97,9,81,10,Yes,Yes,Excellent
11,99,9,83,10,Yes,Yes,Excellent
12,100,9,86,10,Yes,Yes,Excellent
1,65,4,52,1,No,No,Poor
2,68,5,55,2,No,No,Poor
3,71,5,57,3,No,No,Average
4,73,6,59,4,No,No,Average
4,75,6,61,4,Yes,No,Good
5,77,6,63,5,Yes,No,Good
5,79,6,65,5,Yes,NO,Excellent
6,81,7,67,6,Yes,No,Excellent
6,83,7,69,6,Yes,No,Excellent
7,85,7,71,7,Yes,Yes,Excellent
7,87,7,73,7,Yes,No,Excellent
8,89,8,75,8,Yes,Yes,Excellent
8,91,8,77,8,Yes,No,Excellent
9,93,8,79,9,Yes,Yes,Excellent
9,95,8,81,9,Yes,Yes,Excellent
10,97,8,83,10,Yes,Yes,Excellent
10,99,9,85,10,Yes,Yes,Excellent
11,100,9,88,10,Yes,Yes,Excellent
12,100,9,92,10,Yes,Yes,Excellent
2,69,5,56,2,No,No,Poor
3,72,5,59,3,No,No,Average
4,74,6,61,4,No,No,Average
4,76,6,63,4,Yes,No,Good
5,78,6,65,5,Yes,No,Good
5,80,6,67,5,Yes,NO,Excellent
6,82,7,69,6,Yes,No,Excellent
6,84,7,71,6,Yes,No,Excellent
7,86,7,73,7,Yes,Yes,Excellent
7,88,7,75,7,Yes,No,Excellent
8,90,8,77,8,Yes,Yes,Excellent
8,92,8,79,8,Yes,No,Excellent
9,94,8,81,9,Yes,Yes,Excellent
9,96,8,83,9,Yes,Yes,Excellent
10,98,8,85,10,Yes,Yes,Excellent
10,100,9,87,10,Yes,Yes,Excellent
11,100,9,90,10,Yes,Yes,Excellent
11,100,9,93,10,Yes,Yes,Excellent
3,71,4,53,3,No,No,Poor
4,74,5,56,4,No,No,Average
5,76,6,58,5,No,No,Average
5,78,6,60,5,Yes,No,Good
6,80,7,62,6,Yes,No,Good
6,82,7,64,6,Yes,NO,Excellent
7,84,7,66,7,Yes,Yes,Excellent
7,86,7,68,7,Yes,No,Excellent
8,88,8,70,8,Yes,Yes,Excellent
8,90,8,72,8,Yes,No,Excellent
9,92,8,74,9,Yes,Yes,Excellent
9,94,8,76,9,Yes,Yes,Excellent
10,96,8,78,10,Yes,Yes,Excellent
10,98,9,80,10,Yes,Yes,Excellent
11,100,9,82,10,Yes,Yes,Excellent
12,100,9,85,10,Yes,Yes,Excellent
1,66,4,53,1,No,No,Poor
2,70,5,56,2,No,No,Poor
3,72,5,58,3,No,No,Average
4,74,6,60,4,No,No,Average
4,76,6,62,4,Yes,No,Good
5,78,6,64,5,Yes,No,Good
5,80,6,66,5,Yes,NO,Excellent
6,82,7,68,6,Yes,No,Excellent
6,84,7,70,6,Yes,No,Excellent
7,86,7,72,7,Yes,Yes,Excellent
7,88,7,74,7,Yes,No,Excellent
8,90,8,76,8,Yes,Yes,Excellent
8,92,8,78,8,Yes,No,Excellent
9,94,8,80,9,Yes,Yes,Excellent
9,96,8,82,9,Yes,Yes,Excellent
10,98,8,84,10,Yes,Yes,Excellent
10,100,9,86,10,Yes,Yes,Excellent
11,100,9,89,10,Yes,Yes,Excellent
12,100,9,91,10,Yes,Yes,Excellent
2,70,5,55,2,No,No,Poor
3,73,5,58,3,No,No,Average
4,75,6,60,4,No,No,Average
4,77,6,62,4,Yes,No,Good
5,79,6,64,5,Yes,No,Good
5,81,6,66,5,Yes,NO,Excellent
6,83,7,68,6,Yes,No,Excellent
6,85,7,70,6,Yes,No,Excellent
7,87,7,72,7,Yes,Yes,Excellent
7,89,7,74,7,Yes,No,Excellent
8,91,8,76,8,Yes,Yes,Excellent
8,93,8,78,8,Yes,No,Excellent
9,95,8,80,9,Yes,Yes,Excellent
9,97,8,82,9,Yes,Yes,Excellent
10,99,8,84,10,Yes,Yes,Excellent
10,100,9,86,10,Yes,Yes,Excellent
11,100,9,90,10,Yes,Yes,Excellent
11,100,9,92,10,Yes,Yes,Excellent
3,72,4,54,3,No,No,Poor
4,75,5,57,4,No,No,Average
5,77,6,59,5,No,No,Average
5,79,6,61,5,Yes,No,Good
6,81,7,63,6,Yes,No,Excellent
6,83,7,65,6,Yes,NO,Excellent
7,85,7,67,7,Yes,Yes,Excellent
7,87,7,69,7,Yes,No,Excellent
8,89,8,71,8,Yes,Yes,Excellent
8,91,8,73,8,Yes,No,Excellent
9,93,8,75,9,Yes,Yes,Excellent
9,95,8,77,9,Yes,Yes,Excellent
10,97,8,79,10,Yes,Yes,Excellent
10,99,9,81,10,Yes,Yes,Excellent
11,100,9,83,10,Yes,Yes,Excellent
12,100,9,86,10,Yes,Yes,Excellent
1,67,4,54,1,No,No,Poor
2,71,5,57,2,No,No,Poor
3,73,5,59,3,No,No,Average
4,75,6,61,4,No,No,Average
4,77,6,63,4,Yes,No,Good
5,79,6,65,5,Yes,No,Excellent
5,81,6,67,5,Yes,NO,Excellent
6,83,7,69,6,Yes,No,Excellent
6,85,7,71,6,Yes,No,Excellent
7,87,7,73,7,Yes,Yes,Excellent
7,89,7,75,7,Yes,No,Excellent
8,91,8,77,8,Yes,Yes,Excellent
8,93,8,79,8,Yes,No,Excellent
9,95,8,81,9,Yes,Yes,Excellent
9,97,8,83,9,Yes,Yes,Excellent
10,99,8,85,10,Yes,Yes,Excellent
10,100,9,87,10,Yes,Yes,Excellent
11,100,9,91,10,Yes,Yes,Excellent
12,100,9,93,10,Yes,Yes,Excellent
2,71,5,56,2,No,No,Poor
3,74,5,59,3,No,No,Average
4,76,6,61,4,No,No,Average
4,78,6,63,4,Yes,No,Good
5,80,6,65,5,Yes,No,Excellent
5,82,6,67,5,Yes,NO,Excellent
6,84,7,69,6,Yes,No,Excellent
6,86,7,71,6,Yes,No,Excellent
7,88,7,73,7,Yes,Yes,Excellent
7,90,7,75,7,Yes,No,Excellent
8,92,8,77,8,Yes,Yes,Excellent
8,94,8,79,8,Yes,No,Excellent
9,96,8,81,9,Yes,Yes,Excellent
9,98,8,83,9,Yes,Yes,Excellent
10,100,8,85,10,Yes,Yes,Excellent
10,100,9,87,10,Yes,Yes,Excellent
11,100,9,90,10,Yes,Yes,Excellent
11,100,9,92,10,Yes,Yes,Excellent
3,73,4,55,3,No,No,Poor
4,76,5,58,4,No,No,Average
5,78,6,60,5,No,No,Average
5,80,6,62,5,Yes,No,Excellent
6,82,7,64,6,Yes,NO,Excellent
6,84,7,66,6,Yes,No,Excellent
7,86,7,68,7,Yes,Yes,Excellent
7,88,7,70,7,Yes,No,Excellent
8,90,8,72,8,Yes,Yes,Excellent
8,92,8,74,8,Yes,No,Excellent
9,94,8,76,9,Yes,Yes,Excellent
9,96,8,78,9,Yes,Yes,Excellent
10,98,8,80,10,Yes,Yes,Excellent
10,100,9,82,10,Yes,Yes,Excellent
11,100,9,85,10,Yes,Yes,Excellent
12,100,9,88,10,Yes,Yes,Excellent
1,68,4,55,1,No,No,Poor
2,72,5,58,2,No,No,Average
3,74,5,60,3,No,No,Average
4,76,6,62,4,No,No,Good
4,78,6,64,4,Yes,No,Excellent
5,80,6,66,5,Yes,NO,Excellent
